UMAP1,UMAP2,company
-2.3934608,4.5586233,Raytheon Technologies
-37.563858,29.952028,Franc
-0.1659738,-32.805103,Aptive Resources
35.843155,0.3752254,Nuvias Deutschland GmbH
0.8431166,-0.8964268,Applied Medical Europe B.V.
13.918622,12.458168,Trideum Corporation
-6.7568765,6.5504575,Majorleaguebaseball
-37.53583,29.920105,株式会社アンロックデザイン
3.6843855,-0.25770628,Subsea7
9.604923,-5.53335,We Are Rosie
-2.8991842,-0.20527011,CSI Labor
-8.989132,16.527561,Terres Inovia
0.24898657,-6.357809,Vocational Training Council
1.2276913,-1.3872871,DATAMAXIS
-3.0955555,-0.59849536,Guardian Recruiting (Pty) Ltd.
2.3623009,2.3148592,Dublin Airport Central
1.0926639,0.8590031,Final Answer It Service LLC
25.499182,-46.38379,Top of Minds
-3.4317315,13.916913,New York State Democratic Senate Campaign Committee
-0.6633704,1.2566578,GHL Recruitment
5.5409102,0.11667586,บริษัท ทีอีเอ คอร์ปอเรชั่น จำกัด
2.359916,2.3180385,Intercept Pharmaceuticals
-0.8397672,4.2967677,Morgan Stanley Advantage Services Pvt. Ltd.
-1.2540648,5.30149,Untha
36.140858,0.28344256,HireMilitary
0.3908467,-2.920746,Carnegie Consulting Ltd
-0.96246046,4.7770185,UNIQA
4.806341,-13.081843,Jahez International Company
-37.55622,29.92483,Sweatcoin
-20.498827,24.477118,Pragmist
-0.9191583,1.8191977,Hertz Corporation
3.3579533,0.24887156,Raye IT Consulting
1.7967027,2.478082,One Inc
35.872597,0.31896302,gumtree
-11.07856,-15.376157,TeePublic
-21.707447,-24.504807,YorTeam B.V.
41.79838,-13.8448,"CARE TO BEAUTY, LDA."
-20.463436,24.454514,Qualitas Energy Deutschland GmbH
-8.99092,16.523792,"Epic Personnel Partners, LLC"
1.4258497,0.5411905,"A. Harold and Associates, LLC"
1.4309915,3.2729104,Three Saints Bay
-2.6908603,0.30414605,TECH SMC SQUARE INDIA PRIVATE LIMITED
